,Quarter,Tm,Detail,ATL,RAM
0,1.0,Falcons,Greg Davis 41 yard field goal,3,0
1,1.0,Falcons,Floyd Dixon 5 yard pass from Chris Miller (Greg Davis kick),10,0
2,2.0,Rams,Cleveland Gary 23 yard rush (Mike Lansford kick),10,7
3,2.0,Rams,Mike Lansford 46 yard field goal,10,10
4,2.0,Rams,Damone Johnson 1 yard pass from Jim Everett (Mike Lansford kick),10,17
5,2.0,Rams,Mike Lansford 24 yard field goal,10,20
6,3.0,Falcons,Andre Rison 71 yard pass from Chris Miller (Greg Davis kick),17,20
7,3.0,Rams,Henry Ellard 35 yard pass from Jim Everett (Mike Lansford kick),17,27
8,3.0,Rams,Flipper Anderson 37 yard pass from Jim Everett (Mike Lansford kick),17,34
9,4.0,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),17,41
10,4.0,Rams,Mike Lansford 32 yard field goal,17,44
11,4.0,Falcons,Andre Rison 14 yard pass from Scott Campbell (Greg Davis kick),24,44
