,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Freeman McNeil 5 yard rush (Pat Leahy kick),7,0
1,2.0,Jets,Mark Boyer 1 yard pass from Ken O'Brien (Pat Leahy kick),14,0
2,2.0,Bills,Andre Reed 19 yard pass from Jim Kelly (Scott Norwood kick),14,7
3,2.0,Jets,Al Toon 19 yard pass from Ken O'Brien (Pat Leahy kick),21,7
4,2.0,Bills,Andre Reed 14 yard pass from Jim Kelly (Scott Norwood kick),21,14
5,2.0,Bills,Scott Norwood 29 yard field goal,21,17
6,3.0,Jets,Pat Leahy 28 yard field goal,24,17
7,3.0,Bills,James Lofton 60 yard pass from Jim Kelly (Scott Norwood kick),24,24
8,4.0,Jets,Pat Leahy 25 yard field goal,27,24
9,4.0,Bills,Jamie Mueller 14 yard pass from Jim Kelly,27,30
