,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Jamie Williams 2 yard pass from Steve Young (Mike Cofer kick),0,7
1,2.0,49ers,Jerry Rice 3 yard pass from Steve Young (Mike Cofer kick),0,14
2,2.0,49ers,Jerry Rice 69 yard pass from Steve Young (Mike Cofer kick),0,21
3,2.0,49ers,Mike Cofer 41 yard field goal,0,24
4,3.0,Bears,Neal Anderson 26 yard pass from Jim Harbaugh (Kevin Butler kick),7,24
5,4.0,49ers,Steve Young 2 yard rush (Mike Cofer kick),7,31
6,4.0,49ers,Don Griffin 99 yard defensive fumble return (Mike Cofer kick),7,38
7,4.0,49ers,Harry Sydney 2 yard rush (Mike Cofer kick),7,45
8,4.0,Bears,Tom Waddle 11 yard pass from Peter Tom Willis (Kevin Butler kick),14,45
9,4.0,49ers,Mike Sherrard 15 yard pass from Bill Musgrave (Mike Cofer kick),14,52
