,Quarter,Tm,Detail,DET,IND
0,1.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),0,7
1,1.0,Colts,Dean Biasucci 20 yard field goal,0,10
2,2.0,Lions,Rodney Peete 7 yard rush (Eddie Murray kick),7,10
3,3.0,Lions,Barry Sanders 2 yard rush (Eddie Murray kick),14,10
4,3.0,Lions,"Safety, Ball tackled Dickerson in end zone",16,10
5,3.0,Lions,Willie Green 11 yard pass from Erik Kramer (Eddie Murray kick),23,10
6,4.0,Lions,Eddie Murray 19 yard field goal,26,10
7,4.0,Colts,Eric Dickerson 2 yard pass from Jeff George (Dean Biasucci kick),26,17
8,4.0,Lions,Barry Sanders 23 yard rush (Eddie Murray kick),33,17
9,4.0,Colts,Jessie Hester 12 yard pass from Jeff George (Dean Biasucci kick),33,24
