,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Matt Bahr 35 yard field goal,0,3
1,1.0,Giants,Dave Meggett 14 yard pass from Jeff Hostetler (Matt Bahr kick),0,10
2,2.0,Eagles,Herschel Walker 21 yard pass from Randall Cunningham,6,10
3,2.0,Giants,Dave Meggett 92 yard kickoff return (Matt Bahr kick),6,17
4,2.0,Giants,Matt Bahr 44 yard field goal,6,20
5,2.0,Eagles,Seth Joyner 43 yard interception return (Roger Ruzek kick),13,20
6,2.0,Eagles,Herschel Walker 11 yard rush (Roger Ruzek kick),20,20
7,3.0,Eagles,Keith Byars 38 yard pass from Randall Cunningham (Roger Ruzek kick),27,20
8,3.0,Eagles,Ken Rose 3 yard blocked punt return (Roger Ruzek kick),34,20
9,3.0,Eagles,Vai Sikahema 87 yard punt return,40,20
10,3.0,Giants,Ed McCaffrey 18 yard pass from Kent Graham (Matt Bahr kick),40,27
11,4.0,Eagles,Heath Sherman 30 yard rush (Roger Ruzek kick),47,27
12,4.0,Giants,Rodney Hampton 2 yard rush (Matt Bahr kick),47,34
