,Quarter,Tm,Detail,RAI,BUF
0,1.0,Raiders,Jeff Jaeger 37 yard field goal,3,0
1,2.0,Bills,Thurman Thomas 3 yard rush (Steve Christie kick),3,7
2,2.0,Raiders,Jeff Hostetler 11 yard rush (Jeff Jaeger kick),10,7
3,2.0,Bills,Don Beebe 65 yard pass from Jim Kelly (Steve Christie kick),10,14
4,3.0,Raiders,Jeff Jaeger 34 yard field goal,13,14
5,3.0,Bills,Steve Christie 35 yard field goal,13,17
6,3.0,Raiders,Jeff Jaeger 26 yard field goal,16,17
7,4.0,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),16,24
8,4.0,Raiders,Jeff Jaeger 47 yard field goal,19,24
9,4.0,Raiders,Tim Brown 29 yard pass from Jeff Hostetler,25,24
