,Quarter,Tm,Detail,PHI,NYJ
0,1.0,Jets,James Thornton 7 yard pass from Boomer Esiason (Cary Blanchard kick),0,7
1,1.0,Jets,Johnny Mitchell 14 yard pass from Boomer Esiason (Cary Blanchard kick),0,14
2,2.0,Jets,Johnny Mitchell 12 yard pass from Boomer Esiason (Cary Blanchard kick),0,21
3,2.0,Eagles,Herschel Walker 8 yard rush (Matt Bahr kick),7,21
4,2.0,Eagles,Mark Bavaro 10 yard pass from Bubby Brister (Matt Bahr kick),14,21
5,3.0,Jets,Johnny Mitchell 65 yard pass from Boomer Esiason (Cary Blanchard kick),14,28
6,3.0,Eagles,Calvin Williams 11 yard pass from Bubby Brister (Matt Bahr kick),21,28
7,4.0,Eagles,Vaughn Hebron 1 yard rush (Matt Bahr kick),28,28
8,4.0,Jets,"Safety, Brister intentionally grounded ball in end zone",28,30
9,4.0,Eagles,Eric Allen 94 yard interception return (Matt Bahr kick),35,30
