,Quarter,Time,Tm,Detail,CHI,SFO
0,1.0,,Bears,Kevin Butler 39 yard field goal,3,0
1,1.0,,49ers,William Floyd 2 yard rush (Doug Brien kick),3,7
2,2.0,,49ers,Brent Jones 8 yard pass from Steve Young,3,13
3,2.0,,49ers,William Floyd 4 yard rush (Doug Brien kick),3,20
4,2.0,,49ers,Doug Brien 36 yard field goal,3,23
5,2.0,,49ers,Steve Young 6 yard rush (Doug Brien kick),3,30
6,3.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),3,37
7,4.0,,Bears,Jim Flanigan 2 yard pass from Erik Kramer (pass failed),9,37
8,4.0,,49ers,Adam Walker 1 yard rush (Doug Brien kick),9,44
9,4.0,,Bears,Lewis Tillman 1 yard rush (pass failed),15,44
