,Quarter,Time,Tm,Detail,CHI,MIN
0,1,,Vikings,Dewayne Washington 54 yard interception return (Fuad Reveiz kick),0,7
1,1,,Bears,Robert Green 39 yard pass from Steve Walsh (Kevin Butler kick),7,7
2,2,,Vikings,Fuad Reveiz 45 yard field goal,7,10
3,2,,Vikings,Fuad Reveiz 41 yard field goal,7,13
4,3,,Bears,Jeff Graham 60 yard punt return (Kevin Butler kick),14,13
5,3,,Vikings,Fuad Reveiz 29 yard field goal,14,16
6,3,,Bears,Kevin Butler 29 yard field goal,17,16
7,3,,Bears,Greg McMurtry 15 yard pass from Steve Walsh (Kevin Butler kick),24,16
8,4,,Vikings,Fuad Reveiz 38 yard field goal,24,19
9,4,,Vikings,Cris Carter 1 yard pass from Warren Moon (Andrew Jordan pass from Warren Moon),24,27
10,4,,Bears,Kevin Butler 33 yard field goal,27,27
11,OT,,Vikings,Cris Carter 65 yard pass from Warren Moon,27,33
