,Quarter,Time,Tm,Detail,SFO,RAM
0,1.0,,49ers,John Taylor 3 yard pass from Steve Young (Doug Brien kick),7,0
1,1.0,,Rams,Troy Drayton 4 yard pass from Chris Miller (Tony Zendejas kick),7,7
2,1.0,,49ers,Doug Brien 33 yard field goal,10,7
3,2.0,,Rams,Tony Zendejas 25 yard field goal,10,10
4,2.0,,49ers,Steve Young 1 yard rush (Doug Brien kick),17,10
5,3.0,,49ers,Doug Brien 47 yard field goal,20,10
6,4.0,,49ers,Jerry Rice 1 yard pass from Steve Young (Doug Brien kick),27,10
7,4.0,,Rams,Tony Zendejas 35 yard field goal,27,13
8,4.0,,49ers,Steve Young 1 yard rush (Doug Brien kick),34,13
9,4.0,,Rams,Jerome Bettis 2 yard rush (pass failed),34,19
