,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,15:00,Colts,Aaron Bailey 95 yard kickoff return (Cary Blanchard kick),7,0
1,1.0,15:00,Colts,Aaron Bailey 14 yard pass from Craig Erickson (Cary Blanchard kick),14,0
2,2.0,15:00,Jaguars,James Stewart 6 yard rush (Mike Hollis kick),14,7
3,2.0,15:00,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),21,7
4,2.0,15:00,Colts,Cary Blanchard 22 yard field goal,24,7
5,3.0,15:00,Jaguars,Mike Hollis 37 yard field goal,24,10
6,3.0,15:00,Colts,Cary Blanchard 44 yard field goal,27,10
7,4.0,15:00,Jaguars,Willie Jackson 15 yard pass from Mark Brunell (Mike Hollis kick),27,17
8,4.0,15:00,Colts,Ken Dilger 16 yard pass from Craig Erickson (Cary Blanchard kick),34,17
9,4.0,15:00,Jaguars,Jimmy Smith 4 yard pass from Mark Brunell (Mike Hollis kick),34,24
10,4.0,15:00,Colts,Lamont Warren 2 yard rush (Cary Blanchard kick),41,24
11,4.0,15:00,Jaguars,Willie Jackson 7 yard pass from Mark Brunell (Mike Hollis kick),41,31
