,Quarter,Time,Tm,Detail,MIN,SFO
0,1.0,,49ers,Jerry Rice 8 yard pass from Steve Young,0,6
1,1.0,,49ers,Dexter Carter 78 yard punt return (Derek Loville run),0,14
2,1.0,,49ers,Jerry Rice 46 yard pass from Steve Young (Jeff Wilkins kick),0,21
3,2.0,,Vikings,Fuad Reveiz 29 yard field goal,3,21
4,2.0,,Vikings,Cris Carter 6 yard pass from Warren Moon (Fuad Reveiz kick),10,21
5,2.0,,49ers,Jerry Rice 31 yard pass from Steve Young,10,27
6,2.0,,Vikings,Cris Carter 2 yard pass from Warren Moon (Fuad Reveiz kick),17,27
7,2.0,,Vikings,Fuad Reveiz 43 yard field goal,20,27
8,3.0,,Vikings,Jake Reed 6 yard pass from Warren Moon (Fuad Reveiz kick),27,27
9,3.0,,49ers,Jeff Wilkins 20 yard field goal,27,30
10,4.0,,49ers,Steve Young 6 yard rush (Jeff Wilkins kick),27,37
11,4.0,,Vikings,Fuad Reveiz 38 yard field goal,30,37
