,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,,Cowboys,Jay Novacek 2 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,1.0,,Cowboys,Emmitt Smith 6 yard rush (Chris Boniol kick),0,14
2,2.0,,Cardinals,Greg Davis 31 yard field goal,3,14
3,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,21
4,2.0,,Cardinals,Larry Centers 13 yard pass from Dave Krieg (Greg Davis kick),10,21
5,2.0,,Cowboys,Chris Boniol 25 yard field goal,10,24
6,3.0,,Cowboys,Chris Boniol 30 yard field goal,10,27
7,3.0,,Cardinals,Greg Davis 19 yard field goal,13,27
8,4.0,,Cowboys,Sherman Williams 44 yard rush (Chris Boniol kick),13,34
9,4.0,,Cardinals,Rob Moore 25 yard pass from Dave Krieg (Greg Davis kick),20,34
