,Quarter,Time,Tm,Detail,MIN,PIT
0,2.0,,Steelers,Norm Johnson 32 yard field goal,0,3
1,2.0,,Vikings,Robert Smith 58 yard rush (Fuad Reveiz kick),7,3
2,2.0,,Vikings,Fuad Reveiz 33 yard field goal,10,3
3,2.0,,Steelers,Norm Johnson 35 yard field goal,10,6
4,2.0,,Vikings,Fuad Reveiz 43 yard field goal,13,6
5,3.0,,Vikings,Corey Fuller 12 yard defensive fumble return (Fuad Reveiz kick),20,6
6,3.0,,Vikings,Cris Carter 18 yard pass from Warren Moon (Fuad Reveiz kick),27,6
7,3.0,12:22,Vikings,Orlando Thomas 45 yard touchdown on a lateral (Fuad Reveiz kick),34,6
8,3.0,12:22,Vikings,Fuad Reveiz 40 yard field goal,37,6
9,4.0,12:22,Steelers,Erric Pegram 5 yard rush (run failed),37,12
10,4.0,12:22,Steelers,Yancey Thigpen 42 yard pass from Jim Miller (pass failed),37,18
11,4.0,12:22,Vikings,Cris Carter 22 yard pass from Warren Moon (Fuad Reveiz kick),44,18
12,4.0,12:22,Steelers,Erric Pegram 1 yard rush (run failed),44,24
