,Quarter,Time,Tm,Detail,SFO,DET
0,1.0,,Lions,Jason Hanson 30 yard field goal,0,3
1,2.0,,Lions,Scott Mitchell 1 yard rush (Jason Hanson kick),0,10
2,2.0,,49ers,Doug Brien 23 yard field goal,3,10
3,2.0,,Lions,Jason Hanson 38 yard field goal,3,13
4,2.0,,49ers,Nate Singleton 8 yard pass from Steve Young (Doug Brien kick),10,13
5,3.0,,Lions,Jason Hanson 18 yard field goal,10,16
6,3.0,,49ers,Derek Loville 1 yard rush (Doug Brien kick),17,16
7,4.0,,Lions,Herman Moore 20 yard pass from Scott Mitchell (Brett Perriman pass from Scott Mitchell ),17,24
8,4.0,,49ers,John Taylor 26 yard pass from Steve Young (Doug Brien kick),24,24
9,4.0,,Lions,Jason Hanson 32 yard field goal,24,27
