,Quarter,Time,Tm,Detail,MIA,NOR
0,1.0,,Saints,Mario Bates 1 yard rush (Chip Lohmiller kick),0,7
1,2.0,,Saints,Michael Haynes 23 yard pass from Jim Everett (run failed),0,13
2,2.0,,Dolphins,Eric Green 31 yard pass from Bernie Kosar (Pete Stoyanovich kick),7,13
3,2.0,,Dolphins,Pete Stoyanovich 20 yard field goal,10,13
4,3.0,,Saints,Quinn Early 25 yard pass from Jim Everett,10,19
5,3.0,,Dolphins,O.J. McDuffie 12 yard pass from Bernie Kosar (Pete Stoyanovich kick),17,19
6,3.0,4:56,Saints,Michael Haynes 22 yard pass from Jim Everett (Chip Lohmiller kick),17,26
7,4.0,4:56,Saints,Irv Smith 2 yard pass from Jim Everett (Chip Lohmiller kick),17,33
8,4.0,4:56,Dolphins,Bernie Kosar 1 yard rush (run failed),23,33
9,4.0,4:56,Dolphins,Terry Kirby 16 yard pass from Bernie Kosar (Pete Stoyanovich kick),30,33
