,Quarter,Time,Tm,Detail,HOU,CHI
0,1.0,,Bears,Kevin Butler 28 yard field goal,0,3
1,1.0,,Bears,Kevin Butler 22 yard field goal,0,6
2,1.0,,Bears,Curtis Conway 76 yard pass from Erik Kramer (Kevin Butler kick),0,13
3,1.0,,Bears,"Safety, Fontenot tackled Chandler in end zone",0,15
4,2.0,,Bears,Rashaan Salaam 1 yard rush (Kevin Butler kick),0,22
5,2.0,,Bears,Kevin Butler 47 yard field goal,0,25
6,2.0,,Oilers,Todd McNair 24 yard pass from Chris Chandler (Chris Chandler run),8,25
7,2.0,,Bears,Kevin Butler 35 yard field goal,8,28
8,2.0,,Oilers,Darryll Lewis 98 yard interception return (Al Del Greco kick),15,28
9,3.0,,Oilers,Frank Wycheck 1 yard rush (Al Del Greco kick),22,28
10,3.0,,Oilers,Al Del Greco 39 yard field goal,25,28
11,4.0,,Bears,Jeff Graham 18 yard pass from Erik Kramer (Kevin Butler kick),25,35
12,4.0,,Oilers,Haywood Jeffires 6 yard pass from Chris Chandler (Al Del Greco kick),32,35
