,Quarter,Time,Tm,Detail,SDG,SEA
0,1.0,,Seahawks,Brian Blades 41 yard pass from Rick Mirer (Todd Peterson kick),0,7
1,1.0,,Chargers,Ronnie Harmon 12 yard pass from Stan Humphries,6,7
2,2.0,,Chargers,Mark Seay 2 yard pass from Stan Humphries (pass failed),12,7
3,2.0,,Chargers,Shaun Gayle defensive fumble recovery in end zone (pass failed),18,7
4,2.0,,Seahawks,Todd Peterson 48 yard field goal,18,10
5,2.0,,Chargers,Natrone Means 7 yard rush (John Carney kick),25,10
6,3.0,,Seahawks,Chris Warren 1 yard rush (pass failed),25,16
7,4.0,,Chargers,Ronnie Harmon 23 yard pass from Stan Humphries (John Carney kick),32,16
8,4.0,,Seahawks,Todd Peterson 27 yard field goal,32,19
9,4.0,,Chargers,John Carney 25 yard field goal,35,19
10,4.0,,Seahawks,Chris Warren 6 yard rush (run failed),35,25
