,Quarter,Time,Tm,Detail,ARI,PHI
0,1.0,,Eagles,Mike Mamula 4 yard defensive fumble return (Gary Anderson kick),0,7
1,1.0,,Eagles,Gary Anderson 23 yard field goal,0,10
2,1.0,,Eagles,Gary Anderson 22 yard field goal,0,13
3,2.0,,Eagles,Gary Anderson 43 yard field goal,0,16
4,2.0,,Cardinals,Kevin Butler 41 yard field goal,3,16
5,2.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),3,23
6,3.0,,Cardinals,Kevin Butler 41 yard field goal,6,23
7,3.0,,Eagles,Gary Anderson 26 yard field goal,6,26
8,4.0,,Eagles,Gary Anderson 39 yard field goal,6,29
9,4.0,,Cardinals,Leeland McElroy 22 yard pass from Boomer Esiason,12,29
10,4.0,,Cardinals,Aeneas Williams 65 yard interception return (Kevin Butler kick),19,29
