,Quarter,Time,Tm,Detail,NYJ,MIA
0,2.0,,Jets,Aaron Glenn 100 yard interception return (Nick Lowery kick),7,0
1,2.0,,Jets,Webster Slaughter 30 yard pass from Neil O'Donnell (Nick Lowery kick),14,0
2,2.0,,Dolphins,Stanley Pritchett 74 yard pass from Dan Marino (Joe Nedney kick),14,7
3,2.0,,Dolphins,Karim Abdul-Jabbar 4 yard rush (Joe Nedney kick),14,14
4,3.0,,Dolphins,Frank Wainright 2 yard pass from Dan Marino,14,20
5,3.0,,Dolphins,Brett Carolan 12 yard pass from Dan Marino (pass failed),14,26
6,4.0,,Dolphins,Karim Abdul-Jabbar 7 yard rush (Joe Nedney kick),14,33
7,4.0,,Jets,Jeff Graham 78 yard pass from Neil O'Donnell (run failed),20,33
8,4.0,,Jets,Keyshawn Johnson 29 yard pass from Neil O'Donnell (Nick Lowery kick),27,33
9,4.0,,Dolphins,Joe Nedney 29 yard field goal,27,36
