,Quarter,Time,Tm,Detail,TAM,DEN
0,1.0,,Broncos,Tyrone Braxton 69 yard interception return (Jason Elam kick),0,7
1,1.0,,Buccaneers,Michael Husted 24 yard field goal,3,7
2,2.0,,Broncos,Jason Elam 45 yard field goal,3,10
3,2.0,,Buccaneers,Reggie Brooks 8 yard rush (Michael Husted kick),10,10
4,2.0,,Buccaneers,Michael Husted 35 yard field goal,13,10
5,3.0,,Broncos,Jason Elam 20 yard field goal,13,13
6,3.0,,Broncos,Anthony Miller 17 yard pass from John Elway (Jason Elam kick),13,20
7,3.0,,Buccaneers,Alvin Harper 40 yard pass from Trent Dilfer (Michael Husted kick),20,20
8,4.0,,Buccaneers,Michael Husted 28 yard field goal,23,20
9,4.0,,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),23,27
