,Quarter,Time,Tm,Detail,SDG,OAK
0,1.0,,Chargers,Terrell Fletcher 6 yard pass from Stan Humphries (John Carney kick),7,0
1,1.0,,Chargers,Tony Martin 7 yard pass from Stan Humphries (John Carney kick),14,0
2,1.0,1:04,Chargers,Tony Martin 41 yard pass from Stan Humphries (John Carney kick),21,0
3,2.0,1:04,Raiders,Derrick Fenner 4 yard pass from Jeff Hostetler (Cole Ford kick),21,7
4,2.0,1:04,Chargers,John Carney 28 yard field goal,24,7
5,2.0,1:04,Raiders,Rickey Dudley 6 yard pass from Jeff Hostetler (Cole Ford kick),24,14
6,2.0,1:04,Chargers,John Carney 39 yard field goal,27,14
7,3.0,1:04,Raiders,Tim Brown 6 yard pass from Jeff Hostetler (Cole Ford kick),27,21
8,4.0,1:04,Chargers,Tony Martin 19 yard pass from Stan Humphries (run failed),33,21
9,4.0,1:04,Chargers,Willie Clark 83 yard interception return (John Carney kick),40,21
10,4.0,1:04,Raiders,Tim Brown 11 yard pass from Billy Joe Hobert (pass failed),40,27
11,4.0,1:04,Raiders,Kenny Shedd 28 yard pass from Billy Joe Hobert (Cole Ford kick),40,34
