,Quarter,Time,Tm,Detail,SFO,GNB
0,1,,Packers,Chris Jacke 30 yard field goal,0,3
1,1,,Packers,Chris Jacke 25 yard field goal,0,6
2,2,,49ers,Jeff Wilkins 48 yard field goal,3,6
3,2,,49ers,Jerry Rice 7 yard pass from Elvis Grbac (Jeff Wilkins kick),10,6
4,2,,49ers,Jerry Rice 13 yard pass from Elvis Grbac (Jeff Wilkins kick),17,6
5,3,,Packers,Don Beebe 59 yard pass from Brett Favre (Edgar Bennett pass from Brett Favre ),17,14
6,4,,Packers,Chris Jacke 35 yard field goal,17,17
7,4,,49ers,Jeff Wilkins 28 yard field goal,20,17
8,4,,Packers,Chris Jacke 31 yard field goal,20,20
9,OT,,Packers,Chris Jacke 53 yard field goal,20,23
