,Quarter,Time,Tm,Detail,STL,BAL
0,1,,Rams,Isaac Bruce 8 yard pass from Tony Banks (Chip Lohmiller kick),7,0
1,2,,Rams,Chip Lohmiller 50 yard field goal,10,0
2,2,,Rams,Chip Lohmiller 38 yard field goal,13,0
3,2,,Ravens,Floyd Turner 27 yard pass from Vinny Testaverde,13,6
4,3,,Rams,Todd Lyght 25 yard interception return (Chip Lohmiller kick),20,6
5,3,,Ravens,Matt Stover 50 yard field goal,20,9
6,3,,Ravens,Bam Morris 3 yard rush (Derrick Alexander pass from Vinny Testaverde),20,17
7,4,9:13,Rams,Chip Lohmiller 36 yard field goal,23,17
8,4,9:13,Ravens,Derrick Alexander 13 yard pass from Vinny Testaverde (Matt Stover kick),23,24
9,4,9:13,Ravens,Bam Morris 10 yard rush (Matt Stover kick),23,31
10,4,9:13,Rams,Harold Green 1 yard rush (Harold Green run),31,31
11,OT,9:13,Ravens,Michael Jackson 22 yard pass from Vinny Testaverde,31,37
