,Quarter,Time,Tm,Detail,JAX,BUF
0,1.0,,Bills,Thurman Thomas 7 yard pass from Jim Kelly (Steve Christie kick),0,7
1,1.0,,Jaguars,Clyde Simmons 20 yard interception return (Mike Hollis kick),7,7
2,1.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),7,14
3,1.0,,Jaguars,Mike Hollis 27 yard field goal,10,14
4,2.0,,Jaguars,Natrone Means 30 yard rush (Mike Hollis kick),17,14
5,2.0,,Bills,Steve Christie 33 yard field goal,17,17
6,3.0,,Bills,Steve Christie 47 yard field goal,17,20
7,3.0,,Jaguars,Mike Hollis 24 yard field goal,20,20
8,4.0,,Bills,Jeff Burris 38 yard interception return (Steve Christie kick),20,27
9,4.0,,Jaguars,Jimmy Smith 2 yard pass from Mark Brunell (Mike Hollis kick),27,27
10,4.0,,Jaguars,Mike Hollis 45 yard field goal,30,27
