,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,,Oilers,Darryll Lewis 47 yard interception return (Al Del Greco kick),0,7
1,1.0,,Jaguars,Mike Hollis 30 yard field goal,3,7
2,1.0,,Jaguars,Chris Hudson 32 yard defensive fumble return (Mike Hollis kick),10,7
3,1.0,,Jaguars,Pete Mitchell 6 yard pass from Mark Brunell (Mike Hollis kick),17,7
4,2.0,,Oilers,Al Del Greco 36 yard field goal,17,10
5,2.0,,Jaguars,Mark Brunell 6 yard rush (Mike Hollis kick),24,10
6,3.0,,Jaguars,Mike Hollis 30 yard field goal,27,10
7,3.0,,Oilers,Rodney Thomas 3 yard rush (Al Del Greco kick),27,17
8,4.0,,Jaguars,Mike Hollis 37 yard field goal,30,17
9,4.0,,Oilers,Eddie George 5 yard rush (Al Del Greco kick),30,24
