,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,,Broncos,Jason Elam 21 yard field goal,3,0
1,2.0,3:36,Broncos,Shannon Sharpe 5 yard pass from John Elway (Jason Elam kick),10,0
2,2.0,3:36,Broncos,Jason Elam 38 yard field goal,13,0
3,2.0,3:36,Chiefs,Marcus Allen 6 yard rush (Pete Stoyanovich kick),13,7
4,2.0,3:36,Chiefs,Danan Hughes 5 yard pass from Rich Gannon (Pete Stoyanovich kick),13,14
5,3.0,3:36,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),13,21
6,3.0,3:36,Broncos,Jason Elam 38 yard field goal,16,21
7,4.0,3:36,Broncos,Jason Elam 28 yard field goal,19,21
8,4.0,3:36,Broncos,Jason Elam 34 yard field goal,22,21
9,4.0,3:36,Chiefs,Pete Stoyanovich 54 yard field goal,22,24
