,Quarter,Time,Tm,Detail,ATL,ARI
0,1.0,,Falcons,Bert Emanuel 38 yard pass from Chris Chandler (Morten Andersen kick),7,0
1,1.0,,Cardinals,Chris Gedney 1 yard pass from Jake Plummer (Joe Nedney kick),7,7
2,1.0,,Falcons,Terance Mathis 17 yard pass from Chris Chandler (Morten Andersen kick),14,7
3,2.0,,Falcons,Morten Andersen 25 yard field goal,17,7
4,2.0,,Cardinals,Jake Plummer 1 yard rush (Joe Nedney kick),17,14
5,3.0,,Falcons,Morten Andersen 31 yard field goal,20,14
6,4.0,4:48,Falcons,Morten Andersen 20 yard field goal,23,14
7,4.0,4:48,Falcons,Morten Andersen 26 yard field goal,26,14
8,4.0,4:48,Cardinals,Rob Moore 21 yard pass from Jake Plummer (Joe Nedney kick),26,21
9,4.0,4:48,Cardinals,Larry Centers 1 yard pass from Jake Plummer (Jake Plummer run),26,29
