,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,,Eagles,Chris Boniol 49 yard field goal,3,0
1,1.0,,Cowboys,Richie Cunningham 46 yard field goal,3,3
2,1.0,,Eagles,William Thomas 37 yard defensive fumble return (Chris Boniol kick),10,3
3,2.0,,Eagles,Chad Lewis 12 yard pass from Ty Detmer (Chris Boniol kick),17,3
4,2.0,,Cowboys,Richie Cunningham 48 yard field goal,17,6
5,3.0,,Cowboys,Richie Cunningham 25 yard field goal,17,9
6,4.0,,Eagles,Chris Boniol 44 yard field goal,20,9
7,4.0,,Cowboys,Richie Cunningham 29 yard field goal,20,12
8,4.0,,Cowboys,Richie Cunningham 22 yard field goal,20,15
9,4.0,,Cowboys,Anthony Miller 14 yard pass from Troy Aikman (pass failed),20,21
