,Quarter,Time,Tm,Detail,CIN,DEN
0,1.0,,Bengals,Tony McGee 7 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,2.0,,Broncos,Ed McCaffrey 32 yard pass from John Elway (Jason Elam kick),7,7
2,2.0,,Broncos,Rod Smith 1 yard pass from John Elway (Jason Elam kick),7,14
3,3.0,,Bengals,Ki-Jana Carter 79 yard rush (Doug Pelfrey kick),14,14
4,3.0,,Bengals,Doug Pelfrey 38 yard field goal,17,14
5,3.0,,Broncos,Rod Smith 18 yard pass from John Elway (Jason Elam kick),17,21
6,4.0,,Bengals,Doug Pelfrey 42 yard field goal,20,21
7,4.0,,Broncos,Terrell Davis 50 yard rush (Jason Elam kick),20,28
8,4.0,,Broncos,Jason Elam 24 yard field goal,20,31
9,4.0,,Broncos,Alfred Williams 51 yard defensive fumble return (Jason Elam kick),20,38
