,Quarter,Time,Tm,Detail,MIN,DAL
0,1.0,,Vikings,Randy Moss 51 yard pass from Randall Cunningham (Gary Anderson kick),7,0
1,1.0,,Cowboys,Richie Cunningham 30 yard field goal,7,3
2,1.0,,Vikings,Cris Carter 54 yard pass from Randall Cunningham (Gary Anderson kick),14,3
3,1.0,,Cowboys,Richie Cunningham 46 yard field goal,14,6
4,1.0,3:04,Vikings,Randy Moss 56 yard pass from Randall Cunningham (Gary Anderson kick),21,6
5,2.0,3:04,Cowboys,Patrick Jeffers 67 yard pass from Troy Aikman (pass failed),21,12
6,2.0,0:21,Vikings,Gary Anderson 45 yard field goal,24,12
7,3.0,0:21,Cowboys,Emmitt Smith 2 yard rush (Richie Cunningham kick),24,19
8,3.0,0:21,Vikings,Leroy Hoard 12 yard rush (Randy Moss pass from Randall Cunningham),32,19
9,3.0,0:21,Cowboys,Richie Cunningham 47 yard field goal,32,22
10,3.0,0:21,Vikings,Randy Moss 56 yard pass from Randall Cunningham (Gary Anderson kick),39,22
11,4.0,0:21,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),39,29
12,4.0,0:21,Vikings,Leroy Hoard 50 yard rush (Gary Anderson kick),46,29
13,4.0,1:09,Cowboys,Emmitt Smith 4 yard rush (Richie Cunningham kick),46,36
