,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,,Bengals,Doug Pelfrey 33 yard field goal,3,0
1,2.0,,Bengals,Sam Shade 55 yard defensive fumble return (Doug Pelfrey kick),10,0
2,2.0,,Bengals,Doug Pelfrey 37 yard field goal,13,0
3,2.0,1:55,Steelers,Carnell Lake 15 yard interception return (Norm Johnson kick),13,7
4,2.0,1:55,Bengals,Doug Pelfrey 43 yard field goal,16,7
5,3.0,15:00,Steelers,Chris Oldham 54 yard fumble return (Norm Johnson kick),16,14
6,3.0,15:00,Steelers,Jerome Bettis 4 yard rush (Norm Johnson kick),16,21
7,3.0,7:05,Bengals,Darnay Scott 61 yard pass from Jeff Blake,22,21
8,4.0,7:05,Steelers,Norm Johnson 22 yard field goal,22,24
9,4.0,7:05,Bengals,Doug Pelfrey 21 yard field goal,25,24
