,Quarter,Time,Tm,Detail,NYJ,SFO
0,1,,Jets,John Hall 24 yard field goal,3,0
1,1,,49ers,Garrison Hearst 5 yard rush (Wade Richey kick),3,7
2,2,,Jets,Keyshawn Johnson 41 yard pass from Glenn Foley (John Hall kick),10,7
3,2,,49ers,J.J. Stokes 6 yard pass from Steve Young (Wade Richey kick),10,14
4,2,0:37,Jets,Wayne Chrebet 6 yard pass from Glenn Foley (John Hall kick),17,14
5,3,0:37,49ers,Wade Richey 22 yard field goal,17,17
6,3,0:37,Jets,Keyshawn Johnson 21 yard pass from Glenn Foley (John Hall kick),24,17
7,3,0:37,49ers,Jerry Rice 14 yard pass from Steve Young,24,23
8,4,0:37,Jets,John Hall 32 yard field goal,27,23
9,4,1:32,49ers,J.J. Stokes 31 yard pass from Steve Young (Wade Richey kick),27,30
10,4,0:03,Jets,John Hall 31 yard field goal,30,30
11,OT,11:09,49ers,Garrison Hearst 96 yard rush,30,36
