,Quarter,Time,Tm,Detail,DAL,DEN
0,1.0,,Broncos,Shannon Sharpe 38 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Cowboys,Ernie Mills 36 yard pass from Troy Aikman (Richie Cunningham kick),7,7
2,1.0,,Broncos,Terrell Davis 63 yard rush (Jason Elam kick),7,14
3,1.0,3:23,Broncos,Terrell Davis 59 yard rush (Jason Elam kick),7,21
4,2.0,3:23,Cowboys,Emmitt Smith 4 yard rush (Richie Cunningham kick),14,21
5,2.0,3:23,Broncos,Shannon Sharpe 23 yard pass from John Elway (Jason Elam kick),14,28
6,2.0,3:23,Cowboys,Richie Cunningham 30 yard field goal,17,28
7,2.0,0:34,Broncos,John Elway 1 yard rush (Jason Elam kick),17,35
8,3.0,0:34,Cowboys,Richie Cunningham 54 yard field goal,20,35
9,4.0,0:34,Cowboys,Richie Cunningham 26 yard field goal,23,35
10,4.0,0:34,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),23,42
