,Quarter,Time,Tm,Detail,STL,BUF
0,1.0,,Bills,Sam Gash 5 yard pass from Rob Johnson (Steve Christie kick),0,7
1,2.0,,Rams,Jeff Wilkins 27 yard field goal,3,7
2,2.0,,Rams,Greg Hill 12 yard rush (Jeff Wilkins kick),10,7
3,2.0,0:58,Bills,Andre Reed 13 yard pass from Rob Johnson (Steve Christie kick),10,14
4,3.0,0:58,Bills,Thurman Thomas 14 yard rush (Steve Christie kick),10,21
5,3.0,11:45,Bills,Jay Riemersma 16 yard pass from Rob Johnson (Steve Christie kick),10,28
6,3.0,11:45,Rams,Jeff Wilkins 25 yard field goal,13,28
7,3.0,11:45,Rams,Amp Lee 23 yard pass from Tony Banks (Jeff Wilkins kick),20,28
8,4.0,11:45,Bills,Steve Christie 36 yard field goal,20,31
9,4.0,11:45,Rams,Greg Hill 1 yard rush (Amp Lee run),28,31
10,4.0,8:23,Bills,"Safety, Washington tackled Hill in end zone",28,33
11,4.0,0:17,Rams,Tony Banks 2 yard rush (run failed),34,33
