,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,,Oilers,Al Del Greco 34 yard field goal,0,3
1,1.0,,Jaguars,Damon Jones 5 yard pass from Mark Brunell (Mike Hollis kick),7,3
2,1.0,,Oilers,Yancey Thigpen 38 yard pass from Steve McNair (Al Del Greco kick),7,10
3,2.0,,Oilers,Al Del Greco 32 yard field goal,7,13
4,2.0,,Oilers,Yancey Thigpen 18 yard pass from Steve McNair (run failed),7,19
5,2.0,0:25,Jaguars,Keenan McCardell 7 yard pass from Mark Brunell (Mike Hollis kick),14,19
6,3.0,0:25,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),21,19
7,3.0,0:25,Oilers,Al Del Greco 32 yard field goal,21,22
8,4.0,0:25,Jaguars,Mike Hollis 18 yard field goal,24,22
9,4.0,2:00,Jaguars,Mike Hollis 36 yard field goal,27,22
