,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,,Lions,Jason Hanson 28 yard field goal,3,0
1,1.0,,Lions,Johnnie Morton 98 yard pass from Charlie Batch (Jason Hanson kick),10,0
2,2.0,,Bears,Marcus Robinson 20 yard pass from Erik Kramer (Jeff Jaeger kick),10,7
3,2.0,,Bears,Jeff Jaeger 23 yard field goal,10,10
4,3.0,,Lions,Pete Chryplewicz 3 yard pass from Charlie Batch (Jason Hanson kick),17,10
5,3.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),24,10
6,3.0,,Lions,Jason Hanson 43 yard field goal,27,10
7,4.0,,Bears,Chris Penn 18 yard pass from Edgar Bennett (Jeff Jaeger kick),27,17
8,4.0,,Bears,Fabien Bownes 6 yard pass from Erik Kramer (Jeff Jaeger kick),27,24
9,4.0,1:53,Bears,Erik Kramer 1 yard rush (Jeff Jaeger kick),27,31
