,Quarter,Time,Tm,Detail,NWE,NOR
0,1.0,,Patriots,Adam Vinatieri 34 yard field goal,3,0
1,2.0,,Saints,Keith Mitchell 63 yard defensive fumble return (Doug Brien kick),3,7
2,2.0,,Patriots,Vincent Brisby 6 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,7
3,2.0,,Patriots,Robert Edwards 8 yard rush (Adam Vinatieri kick),17,7
4,2.0,0:03,Saints,Cam Cleeland 1 yard pass from Danny Wuerffel (Doug Brien kick),17,14
5,3.0,0:03,Patriots,Henry Thomas 24 yard interception return (Adam Vinatieri kick),24,14
6,3.0,0:03,Saints,Doug Brien 21 yard field goal,24,17
7,3.0,0:03,Patriots,Adam Vinatieri 49 yard field goal,27,17
8,4.0,0:03,Saints,Lamar Smith 7 yard pass from Danny Wuerffel (Doug Brien kick),27,24
9,4.0,1:32,Saints,Doug Brien 37 yard field goal,27,27
10,4.0,0:06,Patriots,Adam Vinatieri 27 yard field goal,30,27
