,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,,Oilers,Jackie Harris 18 yard pass from Mike Archie (Al Del Greco kick),0,7
1,2.0,,Oilers,Al Del Greco 35 yard field goal,0,10
2,2.0,,Oilers,Steve McNair 1 yard rush (Al Del Greco kick),0,17
3,2.0,0:08,Oilers,Al Del Greco 38 yard field goal,0,20
4,3.0,0:08,Oilers,Al Del Greco 42 yard field goal,0,23
5,3.0,0:08,Oilers,Joe Bowden 12 yard defensive fumble return (Al Del Greco kick),0,30
6,3.0,0:08,Bengals,Corey Dillon 12 yard rush (Doug Pelfrey kick),7,30
7,3.0,6:11,Oilers,Kevin Dyson 45 yard pass from Steve McNair (Al Del Greco kick),7,37
8,4.0,6:11,Bengals,Damon Gibson 76 yard pass from Neil O'Donnell (Doug Pelfrey kick),14,37
9,4.0,6:11,Oilers,Rodney Thomas 1 yard rush (Al Del Greco kick),14,44
