,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,15:00,Packers,Antonio Freeman 80 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,15:00,Packers,"Safety, 49ers punt snap sailed out of end zone",0,9
2,1.0,15:00,Packers,Robert Brooks 30 yard pass from Brett Favre (Ryan Longwell kick),0,16
3,1.0,15:00,49ers,Jerry Rice 12 yard pass from Steve Young,6,16
4,2.0,15:00,Packers,Ryan Longwell 26 yard field goal,6,19
5,2.0,15:00,49ers,Steve Young 1 yard rush (Wade Richey kick),13,19
6,3.0,15:00,49ers,Garrison Hearst 30 yard rush,19,19
7,3.0,15:00,49ers,Wade Richey 20 yard field goal,22,19
8,4.0,15:00,Packers,Ryan Longwell 45 yard field goal,22,22
9,4.0,11:13,Packers,Antonio Freeman 62 yard pass from Brett Favre (Ryan Longwell kick),22,29
10,4.0,9:36,Packers,Travis Jervey 11 yard rush (Ryan Longwell kick),22,36
