,Quarter,Time,Tm,Detail,MIN,STL
0,1.0,9:23,Vikings,Gary Anderson 31 yard field goal,3,0
1,1.0,9:02,Rams,Isaac Bruce 77 yard pass from Kurt Warner (Jeff Wilkins kick),3,7
2,1.0,4:19,Rams,Marshall Faulk 41 yard pass from Kurt Warner (Jeff Wilkins kick),3,14
3,2.0,9:53,Vikings,Cris Carter 22 yard pass from Jeff George (Gary Anderson kick),10,14
4,2.0,2:40,Vikings,Leroy Hoard 4 yard rush (Gary Anderson kick),17,14
5,3.0,14:42,Rams,Tony Horne 95 yard kickoff return (Jeff Wilkins kick),17,21
6,3.0,8:28,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),17,28
7,3.0,0:22,Rams,Jeff Robinson 13 yard pass from Kurt Warner (Jeff Wilkins kick),17,35
8,4.0,13:36,Rams,Ryan Tucker 1 yard pass from Kurt Warner (Jeff Wilkins kick),17,42
9,4.0,8:13,Rams,Roland Williams 2 yard pass from Kurt Warner (Jeff Wilkins kick),17,49
10,4.0,4:56,Vikings,Jake Reed 4 yard pass from Jeff George (Leroy Hoard run),25,49
11,4.0,3:48,Vikings,Randy Moss 44 yard pass from Jeff George (pass failed),31,49
12,4.0,0:31,Vikings,Randy Moss 2 yard pass from Jeff George (pass failed),37,49
