,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,9:36,Titans,Frank Wycheck 9 yard pass from Steve McNair (Al Del Greco kick),7,0
1,1.0,2:59,Steelers,Richard Huntley 8 yard rush (Kris Brown kick),7,7
2,2.0,8:02,Titans,Rodney Thomas 11 yard rush (Al Del Greco kick),14,7
3,2.0,1:11,Titans,Frank Wycheck 26 yard pass from Neil O'Donnell (Al Del Greco kick),21,7
4,2.0,1:01,Titans,Jevon Kearse 14 yard defensive fumble return (Al Del Greco kick),28,7
5,2.0,0:09,Titans,Al Del Greco 42 yard field goal,31,7
6,3.0,9:18,Steelers,Hines Ward 15 yard pass from Mike Tomczak (Hines Ward pass from Mike Tomczak),31,15
7,3.0,7:24,Titans,"Safety, Thornton sacked Tomczak in end zone",33,15
8,3.0,2:56,Titans,Michael Roan 24 yard pass from Neil O'Donnell (Al Del Greco kick),40,15
9,3.0,1:39,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),40,22
10,3.0,1:26,Steelers,Joey Porter 46 yard defensive fumble return (Kris Brown kick),40,29
11,4.0,3:59,Titans,Denard Walker 83 yard defensive fumble return (Al Del Greco kick),47,29
12,4.0,1:42,Steelers,Bobby Shaw 35 yard pass from Mike Tomczak (Kris Brown kick),47,36
