,Quarter,Time,Tm,Detail,DAL,WAS
0,1,5:58,Cowboys,David LaFleur 15 yard pass from Troy Aikman (Richie Cunningham kick),7,0
1,1,3:37,Redskins,Brett Conway 25 yard field goal,7,3
2,2,14:55,Cowboys,David LaFleur 14 yard pass from Troy Aikman (Richie Cunningham kick),14,3
3,2,12:38,Redskins,Michael Westbrook 41 yard pass from Brad Johnson (Brett Conway kick),14,10
4,2,4:12,Redskins,Brett Conway 42 yard field goal,14,13
5,3,7:58,Redskins,Stephen Davis 3 yard rush (Stephen Davis run),14,21
6,3,2:59,Redskins,Stephen Davis 7 yard rush (Brett Conway kick),14,28
7,3,1:04,Redskins,Albert Connell 50 yard pass from Brad Johnson (Brett Conway kick),14,35
8,4,10:43,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),21,35
9,4,3:51,Cowboys,Michael Irvin 37 yard pass from Troy Aikman (Richie Cunningham kick),28,35
10,4,1:46,Cowboys,Michael Irvin 12 yard pass from Troy Aikman (Richie Cunningham kick),35,35
11,OT,10:51,Cowboys,Rocket Ismail 76 yard pass from Troy Aikman,41,35
