,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,10:46,Bills,Steve Christie 26 yard field goal,3,0
1,1.0,6:46,Dolphins,Olindo Mare 30 yard field goal,3,3
2,1.0,1:57,Dolphins,Olindo Mare 44 yard field goal,3,6
3,2.0,12:58,Bills,Steve Christie 52 yard field goal,6,6
4,2.0,4:31,Bills,Gabe Northern 59 yard defensive fumble return (Steve Christie kick),13,6
5,2.0,0:00,Dolphins,Olindo Mare 26 yard field goal,13,9
6,4.0,13:23,Dolphins,Olindo Mare 26 yard field goal,13,12
7,4.0,10:02,Bills,Eric Moulds 6 yard pass from Doug Flutie (Steve Christie kick),20,12
8,4.0,6:56,Bills,Steve Christie 31 yard field goal,23,12
9,4.0,5:13,Dolphins,O.J. McDuffie 9 yard pass from Dan Marino (run failed),23,18
