,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,7:42,Rams,Isaac Bruce 13 yard pass from Kurt Warner (Jeff Wilkins kick),0,7
1,1.0,4:26,Rams,Isaac Bruce 5 yard pass from Kurt Warner (Jeff Wilkins kick),0,14
2,1.0,1:34,49ers,Wade Richey 42 yard field goal,3,14
3,1.0,1:12,Rams,Isaac Bruce 45 yard pass from Kurt Warner (Jeff Wilkins kick),3,21
4,2.0,12:24,49ers,Lawrence Phillips 2 yard rush (Wade Richey kick),10,21
5,2.0,4:09,Rams,Jeff Robinson 22 yard pass from Kurt Warner (Jeff Wilkins kick),10,28
6,2.0,1:59,49ers,Junior Bryant defensive fumble recovery in end zone (Wade Richey kick),17,28
7,3.0,1:42,49ers,Wade Richey 43 yard field goal,20,28
8,3.0,1:25,Rams,Tony Horne 97 yard kickoff return (Jeff Wilkins kick),20,35
9,4.0,11:11,Rams,Isaac Bruce 42 yard pass from Kurt Warner (Jeff Wilkins kick),20,42
