,Quarter,Time,Tm,Detail,PHI,PIT
0,1,2:04,Eagles,David Akers 26 yard field goal,3,0
1,2,11:47,Eagles,Jeff Thomason 2 yard pass from Donovan McNabb (David Akers kick),10,0
2,2,2:59,Steelers,Kris Brown 38 yard field goal,10,3
3,2,0:22,Steelers,Kris Brown 52 yard field goal,10,6
4,3,12:53,Eagles,David Akers 45 yard field goal,13,6
5,3,3:19,Steelers,Jerome Bettis 7 yard rush (Kris Brown kick),13,13
6,4,12:56,Steelers,Joey Porter 32 yard defensive fumble return (Kris Brown kick),13,20
7,4,3:42,Steelers,Kris Brown 40 yard field goal,13,23
8,4,2:29,Eagles,Brian Mitchell 13 yard pass from Donovan McNabb (David Akers kick),20,23
9,4,0:00,Eagles,David Akers 42 yard field goal,23,23
10,OT,10:44,Eagles,David Akers 42 yard field goal,26,23
