,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,4:41,Chargers,John Carney 41 yard field goal,3,0
1,2.0,14:47,Broncos,Ed McCaffrey 1 yard pass from Gus Frerotte (Jason Elam kick),3,7
2,2.0,13:06,Chargers,Curtis Conway 68 yard pass from Ryan Leaf (John Carney kick),10,7
3,2.0,3:15,Chargers,Jeff Graham 45 yard pass from Ryan Leaf (John Carney kick),17,7
4,2.0,1:25,Chargers,Scott Turner 75 yard interception return (John Carney kick),24,7
5,2.0,0:24,Broncos,Jason Elam 26 yard field goal,24,10
6,3.0,11:25,Chargers,John Carney 31 yard field goal,27,10
7,3.0,5:08,Broncos,Dwayne Carswell 5 yard pass from Gus Frerotte (Jason Elam kick),27,17
8,3.0,0:08,Chargers,Jeff Graham 83 yard pass from Ryan Leaf (John Carney kick),34,17
9,4.0,13:00,Broncos,Rod Smith 26 yard pass from Gus Frerotte (Jason Elam kick),34,24
10,4.0,7:13,Chargers,John Carney 33 yard field goal,37,24
11,4.0,4:59,Broncos,Desmond Clark 10 yard pass from Gus Frerotte (Jason Elam kick),37,31
12,4.0,1:33,Broncos,Ed McCaffrey 5 yard pass from Gus Frerotte (Jason Elam kick),37,38
