,Quarter,Time,Tm,Detail,WAS,STL
0,1.0,10:21,Rams,Jeff Hall 30 yard field goal,0,3
1,1.0,9:35,Rams,Marshall Faulk 19 yard pass from Trent Green (Jeff Hall kick),0,10
2,1.0,0:43,Redskins,Eddie Murray 37 yard field goal,3,10
3,2.0,6:45,Rams,Jeff Hall 43 yard field goal,3,13
4,2.0,1:50,Redskins,James Thrash 19 yard pass from Jeff George (Eddie Murray kick),10,13
5,2.0,0:00,Redskins,Eddie Murray 47 yard field goal,13,13
6,3.0,9:19,Redskins,Larry Centers 3 yard pass from Jeff George (Eddie Murray kick failed),19,13
7,3.0,5:13,Rams,Ricky Proehl 15 yard pass from Trent Green (Jeff Hall kick),19,20
8,3.0,0:25,Redskins,Irving Fryar 34 yard pass from Jeff George (pass failed),25,20
9,4.0,11:43,Redskins,Eddie Murray 41 yard field goal,28,20
10,4.0,10:38,Redskins,Eddie Murray 39 yard field goal,31,20
11,4.0,3:44,Redskins,"Safety,",33,20
