,Quarter,Time,Tm,Detail,SFO,SDG
0,1.0,5:43,Chargers,Terrell Fletcher 7 yard rush (John Carney kick),0,7
1,2.0,12:31,49ers,Wade Richey 22 yard field goal,3,7
2,2.0,6:04,49ers,Fred Beasley 1 yard rush (Wade Richey kick),10,7
3,2.0,1:10,49ers,Jerry Rice 1 yard pass from Jeff Garcia (Wade Richey kick),17,7
4,2.0,0:06,Chargers,John Carney 34 yard field goal,17,10
5,3.0,6:31,49ers,Wade Richey 28 yard field goal,20,10
6,3.0,2:56,49ers,Charlie Garner 4 yard rush (Wade Richey kick),27,10
7,4.0,12:47,Chargers,Curtis Conway 17 yard pass from Ryan Leaf (John Carney kick),27,17
8,4.0,9:23,49ers,Wade Richey 38 yard field goal,30,17
9,4.0,8:44,49ers,Jerry Rice 12 yard pass from Jeff Garcia (J.J. Stokes pass from Jeff Garcia ),38,17
10,4.0,1:39,49ers,Monty Montgomery 46 yard interception return (Wade Richey kick),45,17
