,Quarter,Time,Tm,Detail,ARI,JAX
0,1.0,9:11,Jaguars,Mike Hollis 36 yard field goal,0,3
1,1.0,7:15,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),0,10
2,2.0,12:49,Jaguars,Kyle Brady 8 yard pass from Mark Brunell (Mike Hollis kick),0,17
3,2.0,6:31,Jaguars,Fred Taylor 4 yard rush (Mike Hollis kick),0,24
4,2.0,1:08,Cardinals,Cary Blanchard 32 yard field goal,3,24
5,2.0,0:04,Jaguars,Mike Hollis 50 yard field goal,3,27
6,3.0,9:04,Jaguars,Mike Hollis 40 yard field goal,3,30
7,3.0,5:33,Jaguars,Keenan McCardell 25 yard pass from Mark Brunell (Mike Hollis kick),3,37
8,4.0,14:27,Jaguars,Jimmy Smith 65 yard pass from Jamie Martin (Mike Hollis kick),3,44
9,4.0,9:45,Cardinals,Frank Sanders 26 yard pass from Chris Greisen (Cary Blanchard kick),10,44
