,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,10:24,49ers,Jeff Garcia 8 yard rush (Wade Richey kick),0,7
1,1.0,7:07,Saints,Doug Brien 40 yard field goal,3,7
2,2.0,0:12,49ers,Jeff Garcia 1 yard rush (Wade Richey kick),3,14
3,3.0,8:19,Saints,Doug Brien 41 yard field goal,6,14
4,3.0,1:59,Saints,Andrew Glover 15 yard pass from Aaron Brooks (Terry Allen run),14,14
5,4.0,12:58,49ers,Greg Clark 4 yard pass from Jeff Garcia (Wade Richey kick),14,21
6,4.0,8:50,Saints,Doug Brien 28 yard field goal,17,21
7,4.0,8:27,49ers,Terrell Owens 69 yard pass from Jeff Garcia (run failed),17,27
8,4.0,5:46,Saints,Willie Jackson 22 yard pass from Aaron Brooks (Doug Brien kick),24,27
9,4.0,0:46,Saints,Terry Allen 1 yard rush (Doug Brien kick),31,27
