,Quarter,Time,Tm,Detail,OAK,IND
0,1.0,10:17,Colts,Marcus Pollard 13 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,1.0,4:57,Colts,Edgerrin James 6 yard rush (Mike Vanderjagt kick),0,14
2,2.0,11:28,Colts,Edgerrin James 10 yard pass from Peyton Manning (Mike Vanderjagt kick),0,21
3,2.0,2:51,Raiders,Rich Gannon 3 yard rush (Sebastian Janikowski kick),7,21
4,2.0,0:03,Colts,Mike Vanderjagt 31 yard field goal,7,24
5,3.0,10:56,Raiders,Rich Gannon 7 yard rush (Sebastian Janikowski kick),14,24
6,3.0,7:30,Raiders,Sebastian Janikowski 24 yard field goal,17,24
7,3.0,3:58,Raiders,Rich Gannon 6 yard rush (Sebastian Janikowski kick),24,24
8,3.0,0:41,Raiders,Tyrone Wheatley 6 yard rush (Sebastian Janikowski kick),31,24
9,4.0,5:39,Raiders,Tyrone Wheatley 1 yard rush (Sebastian Janikowski kick),38,24
10,4.0,4:07,Colts,Marvin Harrison 50 yard pass from Peyton Manning (Mike Vanderjagt kick),38,31
