,Quarter,Time,Tm,Detail,CLE,DEN
0,1.0,13:21,Broncos,Jason Elam 22 yard field goal,0,3
1,1.0,1:18,Browns,Phil Dawson 45 yard field goal,3,3
2,2.0,8:47,Broncos,Rod Smith 22 yard pass from Brian Griese (Jason Elam kick),3,10
3,2.0,4:29,Broncos,Rod Smith 17 yard pass from Brian Griese (Jason Elam kick),3,17
4,2.0,0:11,Broncos,Jason Elam 45 yard field goal,3,20
5,3.0,10:54,Browns,Travis Prentice 3 yard pass from Tim Couch (Phil Dawson kick),10,20
6,3.0,9:15,Broncos,Mike Anderson 26 yard rush (Jason Elam kick),10,27
7,3.0,4:48,Broncos,Rod Smith 32 yard pass from Brian Griese (Jason Elam kick),10,34
8,4.0,13:22,Broncos,Billy Jenkins 36 yard interception return (Jason Elam kick),10,41
9,4.0,8:55,Broncos,Jason Elam 46 yard field goal,10,44
