,Quarter,Time,Tm,Detail,IND,SEA
0,1.0,11:05,Colts,Edgerrin James 26 yard rush (Mike Vanderjagt kick),7,0
1,2.0,14:12,Colts,Mike Vanderjagt 23 yard field goal,10,0
2,2.0,10:03,Seahawks,Darrell Jackson 8 yard pass from Brock Huard (Rian Lindell kick),10,7
3,2.0,6:54,Colts,Edgerrin James 3 yard rush (Mike Vanderjagt kick),17,7
4,2.0,1:56,Seahawks,Itula Mili 7 yard pass from Brock Huard (Rian Lindell kick),17,14
5,2.0,0:23,Colts,Mike Vanderjagt 38 yard field goal,20,14
6,2.0,0:00,Seahawks,Rian Lindell 51 yard field goal,20,17
7,3.0,8:33,Colts,Ken Dilger 17 yard pass from Peyton Manning (Mike Vanderjagt kick),27,17
8,3.0,0:12,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),34,17
9,4.0,10:40,Colts,Mike Vanderjagt 40 yard field goal,37,17
10,4.0,5:12,Seahawks,Karsten Bailey 6 yard pass from Brock Huard (Rian Lindell kick),37,24
