,Quarter,Time,Tm,Detail,PHI,CHI
0,1.0,9:04,Eagles,David Akers 34 yard field goal,3,0
1,1.0,3:22,Eagles,David Akers 23 yard field goal,6,0
2,2.0,5:29,Bears,Ahmad Merritt 47 yard rush (Paul Edinger kick),6,7
3,2.0,0:14,Eagles,Cecil Martin 13 yard pass from Donovan McNabb (David Akers kick),13,7
4,3.0,12:25,Bears,Jerry Azumah 39 yard interception return (Paul Edinger kick),13,14
5,3.0,5:55,Eagles,Duce Staley 6 yard pass from Donovan McNabb (David Akers kick),20,14
6,4.0,14:16,Bears,Paul Edinger 38 yard field goal,20,17
7,4.0,8:48,Eagles,David Akers 40 yard field goal,23,17
8,4.0,6:28,Eagles,David Akers 46 yard field goal,26,17
9,4.0,3:21,Eagles,Donovan McNabb 5 yard rush (David Akers kick),33,17
10,4.0,0:00,Bears,"Safety,",33,19
