,Quarter,Time,Tm,Detail,GNB,STL
0,1.0,9:11,Rams,Aeneas Williams 29 yard interception return (Jeff Wilkins kick),0,7
1,1.0,2:35,Packers,Antonio Freeman 22 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,14:58,Rams,Torry Holt 4 yard pass from Kurt Warner (Jeff Wilkins kick),7,14
3,2.0,12:36,Rams,James Hodgins 4 yard pass from Kurt Warner (Jeff Wilkins kick),7,21
4,2.0,4:18,Packers,Ryan Longwell 28 yard field goal,10,21
5,2.0,0:21,Rams,Jeff Wilkins 27 yard field goal,10,24
6,3.0,9:44,Rams,Marshall Faulk 7 yard rush (Jeff Wilkins kick),10,31
7,3.0,8:12,Rams,Tommy Polley 34 yard interception return (Jeff Wilkins kick),10,38
8,4.0,7:50,Rams,Aeneas Williams 32 yard interception return (Jeff Wilkins kick),10,45
9,4.0,5:46,Packers,Antonio Freeman 8 yard pass from Brett Favre (Ryan Longwell kick),17,45
