,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,9:37,Packers,Ahman Green 26 yard rush (Ryan Longwell kick),7,0
1,1.0,3:08,Lions,Jason Hanson 33 yard field goal,7,3
2,2.0,12:05,Lions,Jason Hanson 54 yard field goal,7,6
3,2.0,9:12,Packers,Ryan Longwell 46 yard field goal,10,6
4,2.0,3:43,Lions,James Hall 8 yard defensive fumble return (Jason Hanson kick),10,13
5,2.0,0:18,Packers,David Martin 1 yard pass from Brett Favre (Ryan Longwell kick),17,13
6,3.0,10:24,Packers,Ahman Green 35 yard pass from Brett Favre (Ryan Longwell kick),24,13
7,4.0,12:20,Packers,"Safety,",26,13
8,4.0,7:06,Packers,Ryan Longwell 39 yard field goal,29,13
9,4.0,1:17,Lions,Lamont Warren 1 yard rush (Mike McMahon run),29,21
10,4.0,0:10,Lions,Scotty Anderson 29 yard pass from Mike McMahon (pass failed),29,27
