,Quarter,Time,Tm,Detail,SEA,SDG
0,1.0,7:55,Chargers,Curtis Conway 4 yard pass from Doug Flutie (Steve Christie kick),0,7
1,1.0,4:39,Chargers,Steve Christie 32 yard field goal,0,10
2,2.0,13:31,Chargers,Steve Christie 25 yard field goal,0,13
3,2.0,12:01,Seahawks,Darrell Jackson 43 yard pass from Trent Dilfer (Rian Lindell kick),7,13
4,2.0,7:19,Seahawks,Darrell Jackson 48 yard pass from Trent Dilfer (Rian Lindell kick),14,13
5,3.0,9:33,Chargers,Steve Christie 40 yard field goal,14,16
6,3.0,6:21,Seahawks,James Williams 37 yard pass from Trent Dilfer (Christian Fauria pass from Trent Dilfer),22,16
7,4.0,10:11,Chargers,Steve Christie 41 yard field goal,22,19
8,4.0,0:16,Chargers,Steve Christie 36 yard field goal,22,22
9,4.0,0:00,Seahawks,Rian Lindell 54 yard field goal,25,22
