,Quarter,Time,Tm,Detail,WAS,NOR
0,1.0,8:36,Saints,Deuce McAllister 22 yard pass from Aaron Brooks (John Carney kick),0,7
1,1.0,6:11,Saints,John Carney 29 yard field goal,0,10
2,2.0,14:12,Redskins,Stephen Davis 6 yard rush (Brett Conway kick),7,10
3,2.0,2:47,Redskins,Brett Conway 53 yard field goal,10,10
4,2.0,0:10,Redskins,Brett Conway 22 yard field goal,13,10
5,3.0,11:35,Redskins,Brett Conway 34 yard field goal,16,10
6,3.0,6:48,Redskins,Tony Banks 2 yard rush (Brett Conway kick),23,10
7,3.0,0:24,Redskins,Ki-Jana Carter 2 yard rush (Brett Conway kick),30,10
8,4.0,12:47,Redskins,Brett Conway 37 yard field goal,33,10
9,4.0,2:33,Redskins,Ki-Jana Carter 1 yard rush (Brett Conway kick),40,10
