,Quarter,Time,Tm,Detail,CAR,STL
0,1.0,13:08,Rams,Marshall Faulk 71 yard rush (Jeff Wilkins kick),0,7
1,1.0,6:14,Rams,Robert Holcombe 1 yard rush (Jeff Wilkins kick),0,14
2,1.0,3:52,Rams,Isaac Bruce 26 yard pass from Kurt Warner (Jeff Wilkins kick),0,21
3,2.0,12:19,Rams,Marshall Faulk 6 yard rush (Jeff Wilkins kick),0,28
4,2.0,0:33,Rams,Jeff Wilkins 25 yard field goal,0,31
5,2.0,0:18,Panthers,Steve Smith 99 yard kickoff return (John Kasay kick),7,31
6,3.0,14:07,Rams,Aeneas Williams 16 yard interception return (Jeff Wilkins kick),7,38
7,3.0,6:52,Rams,Trung Canidate 23 yard rush (Jeff Wilkins kick),7,45
8,3.0,2:35,Panthers,Kris Mangum 4 yard pass from Matt Lytle (John Kasay kick),14,45
9,4.0,11:34,Rams,Jeff Wilkins 35 yard field goal,14,48
