,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,9:55,Saints,John Carney 43 yard field goal,3,0
1,1.0,2:37,49ers,Terrell Owens 25 yard pass from Jeff Garcia (Jose Cortez kick),3,7
2,2.0,7:25,49ers,Terrell Owens 5 yard pass from Jeff Garcia (Jose Cortez kick),3,14
3,2.0,6:13,Saints,Joe Horn 22 yard pass from Aaron Brooks (Willie Jackson pass from Aaron Brooks),11,14
4,2.0,4:46,49ers,Kevan Barlow 61 yard pass from Jeff Garcia (Jose Cortez kick),11,21
5,2.0,0:08,Saints,John Carney 42 yard field goal,14,21
6,3.0,9:56,Saints,John Carney 35 yard field goal,17,21
7,3.0,3:07,Saints,Joe Horn 6 yard pass from Aaron Brooks (John Carney kick),24,21
8,4.0,11:06,49ers,Eric Johnson 10 yard pass from Jeff Garcia (Jose Cortez kick),24,28
9,4.0,7:56,Saints,John Carney 36 yard field goal,27,28
