,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,11:18,Seahawks,Rian Lindell 33 yard field goal,0,3
1,1.0,8:19,Raiders,Sebastian Janikowski 52 yard field goal,3,3
2,1.0,0:52,Seahawks,Rian Lindell 20 yard field goal,3,6
3,2.0,4:20,Raiders,Tim Brown 4 yard pass from Rich Gannon (Sebastian Janikowski kick),10,6
4,2.0,0:20,Seahawks,Darrell Jackson 9 yard pass from Matt Hasselbeck (Rian Lindell kick),10,13
5,3.0,14:44,Raiders,Terry Kirby 90 yard kickoff return (Sebastian Janikowski kick),17,13
6,3.0,8:33,Raiders,Sebastian Janikowski 37 yard field goal,20,13
7,3.0,4:18,Seahawks,Shaun Alexander 6 yard rush (Rian Lindell kick),20,20
8,3.0,1:05,Seahawks,Shaun Alexander 88 yard rush (Rian Lindell kick),20,27
9,4.0,7:03,Seahawks,Shaun Alexander 10 yard rush (Rian Lindell kick),20,34
10,4.0,3:40,Raiders,Roland Williams 5 yard pass from Rich Gannon (Sebastian Janikowski kick),27,34
