,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,6:16,Vikings,Gary Anderson 23 yard field goal,3,0
1,1.0,1:02,Vikings,Randy Moss 3 yard pass from Daunte Culpepper (Gary Anderson kick),10,0
2,2.0,12:55,Vikings,Gary Anderson 22 yard field goal,13,0
3,2.0,6:43,Packers,Ryan Longwell 33 yard field goal,13,3
4,2.0,0:00,Packers,Ryan Longwell 19 yard field goal,13,6
5,3.0,11:29,Vikings,Daunte Culpepper 3 yard rush (Gary Anderson kick failed),19,6
6,3.0,7:57,Packers,Robert Ferguson 21 yard pass from Brett Favre (Ryan Longwell kick),19,13
7,3.0,6:00,Vikings,Gary Anderson 37 yard field goal,22,13
8,4.0,10:48,Packers,Robert Ferguson 40 yard pass from Brett Favre (Ryan Longwell kick),22,20
9,4.0,1:06,Packers,Tony Fisher 14 yard rush,22,26
