,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,11:07,Rams,Jeff Wilkins 38 yard field goal,3,0
1,1.0,8:28,49ers,Jose Cortez 33 yard field goal,3,3
2,1.0,0:20,49ers,J.J. Stokes 13 yard pass from Jeff Garcia (Jose Cortez kick),3,10
3,2.0,7:42,49ers,Jeff Garcia 6 yard rush (Jose Cortez kick),3,17
4,2.0,1:07,49ers,Jose Cortez 21 yard field goal,3,20
5,2.0,0:04,49ers,Jason Webster 37 yard interception return (Jose Cortez kick),3,27
6,3.0,5:00,Rams,Jeff Wilkins 37 yard field goal,6,27
7,4.0,14:52,49ers,Jose Cortez 32 yard field goal,6,30
8,4.0,9:53,49ers,Garrison Hearst 16 yard rush (Jose Cortez kick),6,37
9,4.0,0:29,Rams,Lamar Gordon 7 yard pass from Jamie Martin (Jeff Wilkins kick),13,37
